person_id,string,abr,era_prefix_only,string_simp
15372,愛新覺羅福臨,,False,爱新觉罗福临
15371,愛新覺羅皇太極,,False,爱新觉罗皇太极
15370,愛新覺羅努爾哈赤,,False,爱新觉罗努尔哈赤
16651,耶律直魯古,,False,耶律直鲁古
15368,朱由校,,False,朱由校
15369,朱由檢,,False,朱由检
16650,耶律普速完,,False,耶律普速完
290,高子雨,,False,高子雨
16652,高繼沖,,False,高继冲
286,李士如,,False,李士如
3004,李玄通,,False,李玄通
15366,朱翊鈞,,False,朱翊钧
3001,李玄休,,False,李玄休
2030,劉休遠,,False,刘休远
1571,張安遜,,False,张安逊
1345,元宣德,,False,元亘德
511,張士彥,,False,张士彦
291,馮文起,,False,冯文起
290,慕容子雨,,False,慕容子雨
289,慕容祖明,,False,慕容祖明
275,張純嘏,,False,张纯嘏
16950,慕容詳,,False,慕容详
274,張元安,,False,张元安
273,張元舒,,False,张元舒
272,張泰臨,,False,张泰临
266,劉玄門,,False,刘玄门
265,劉玄泰,,False,刘玄泰
263,曹元仲,,False,曹元仲
262,劉聖公,,False,刘圣公
16957,朱聿鐭,,False,朱聿鐭
16953,張大豫,,False,张大豫
16951,慕容麟,,False,慕容麟
15367,朱常洛,,False,朱常洛
15329,李安全,,False,李安全
15365,朱載垕,,False,朱载垕
15327,李仁孝,,False,李仁孝
15338,完顏璟,,False,完颜璟
15337,完顏雍,,False,完颜雍
15336,完顏亮,,False,完颜亮
15335,完顏亶,,False,完颜亶
15334,完顏吳乞買,,False,完颜吴乞买
15333,完顏阿骨打,,False,完颜阿骨打
15332,李睍,,False,李𪾢
15331,李德旺,,False,李德旺
15330,李遵頊,,False,李遵顼
15328,李純祐,,False,李纯祐
15326,李乾順,,False,李干顺
15364,朱厚熜,,False,朱厚熜
15325,李秉常,,False,李秉常
15324,李諒祚,,False,李谅祚
15323,李元昊,,False,李元昊
15322,趙昺,,False,赵昺
15321,趙昰,,False,赵是
15320,趙㬎,,False,赵㬎
15319,趙禥,,False,赵祺
15318,趙昀,,False,赵昀
15317,趙擴,,False,赵扩
3631,劉長龍,,False,刘长龙
15339,完顏永濟,,False,完颜永济
15340,完顏珣,,False,完颜珣
15341,完顏守緒,,False,完颜守绪
15342,完顏承麟,,False,完颜承麟
15363,朱厚照,,False,朱厚照
15362,朱祐樘,,False,朱祐樘
15361,朱見深,,False,朱见深
15360,朱祁鈺,,False,朱祁钰
15359,朱祁鎮,,False,朱祁镇
15358,朱瞻基,,False,朱瞻基
15357,朱高熾,,False,朱高炽
15356,朱棣,,False,朱棣
15355,朱允炆,,False,朱允炆
15354,朱元璋,,False,朱元璋
15353,孛兒只斤妥懽帖睦爾,,False,孛儿只斤妥欢帖睦尔
15352,孛兒只斤懿璘質班,,False,孛儿只斤懿璘质班
15351,孛兒只斤和世㻋,,False,孛儿只斤和世瑓
15350,孛兒只斤圖帖睦爾,,False,孛儿只斤图帖睦尔
15349,孛兒只斤阿速吉八,,False,孛儿只斤阿速吉八
15348,孛兒只斤也孫鐵木兒,,False,孛儿只斤也孙铁木儿
15347,孛兒只斤碩德八剌,,False,孛儿只斤硕德八刺
15346,孛兒只斤愛育黎拔力八達,,False,孛儿只斤爱育黎拔力八达
15345,孛兒只斤海山,,False,孛儿只斤海山
15344,孛兒只斤鐵穆耳,,False,孛儿只斤铁穆耳
15343,孛兒只斤忽必烈,,False,孛儿只斤忽必烈
3009,李仲儁,,False,李仲俊
7153,蕭理孫,,False,萧理孙
3635,慕容元真,,False,慕容元真
4479,陳奉業,,False,陈奉业
6004,蕭世詢,,False,萧世询
5692,楊仁謹,,False,杨仁谨
4525,高仁綱,,False,高仁纲
4521,高延安,,False,高延安
4520,高步落稽,,False,高步落稽
4519,高子進,,False,高子进
4487,陳紹世,,False,陈绍世
4486,陳興國,,False,陈兴国
4485,陳子華,,False,陈子华
4482,陳元秀,,False,陈元秀
4407,赫連屈孑,,False,赫连屈孑
7175,蕭仁遠,,False,萧仁远
4362,姚景茂,,False,姚景茂
4361,蕭宣遠,,False,萧亘远
4359,呂世明,,False,吕世明
4358,蕭世誠,,False,萧世诚
4356,蕭世纘,,False,萧世缵
4256,王行滿,,False,王行满
4173,楊阿𡡉,,False,杨阿𡡉
4171,楊那羅延,,False,杨那罗延
4134,李叔德,,False,李叔德
4132,李為善,,False,李为善
15315,趙昚,,False,赵慎
7178,蕭溫文,,False,萧温文
3636,張公庭,,False,张公庭
3658,高貴鄉公,,False,高贵乡公
16956,拖雷,,False,拖雷
16955,平成天皇,,False,平成天皇
16954,智子内親王,,False,智子内亲王
16952,蘭汗,,False,兰汗
16648,蕭塔不煙,,False,萧塔不烟
16646,脫古思帖木兒,,False,脱古思帖木儿
16645,愛猷識理達臘,,False,爱猷识理达腊
10187,天冊金輪,,False,天册金轮
4482,陳主叔寶,,False,陈主叔宝
3726,孺子嬰,,False,孺子婴
2030,元凶劭,,False,元凶劭
7233,侯萬景,,False,侯万景
1880,秦三世,,False,秦三世
1879,秦二世,,False,秦二世
1878,秦始皇,,False,秦始皇
311,什圭,,False,什圭
10187,武則天,,False,武则天
7866,苻建業,,False,苻建业
7617,石世龍,,False,石世龙
7605,蕭紹伯,,False,萧绍伯
7320,李玄盛,,False,李玄盛
7316,蕭元吉,,False,萧元吉
4113,曹子桓,,False,曹子桓
4001,慕容景茂,,False,慕容景茂
4000,慕容玄明,,False,慕容玄明
3672,慕容道祐,,False,慕容道祐
3710,劉玄德,,False,刘玄德
3706,呂娥姁,,False,吕娥姁
3703,慕容道明,,False,慕容道明
3697,蕭智昭,,False,萧智昭
3696,蕭智藏,,False,萧智藏
3695,蕭景栖,,False,萧景栖
3694,蕭季尚,,False,萧季尚
3693,蕭元尚,,False,萧元尚
3682,宇文陀羅尼,,False,宇文陀罗尼
3679,苻永叔,,False,苻永叔
3671,李士業,,False,李士业
3987,桓靈寶,,False,桓灵宝
3665,司馬延齡,,False,司马延龄
3664,司馬世同,,False,司马世同
3663,司馬彥旗,,False,司马彦旗
3662,司馬豐度,,False,司马丰度
3659,曹景明,,False,曹景明
3658,曹彥士,,False,曹彦士
3657,曹蘭卿,,False,曹兰卿
3643,劉文叔,,False,刘文叔
